name,description,WKT
"Cachi","","POINT (-66.161891 -25.119872)"
"Mirador de la Pucará","","POINT (-65.403687 -23.585991)"
"Garganta del Diablo","","POINT (-65.374346 -23.592637)"
"cueva de Wayra","","POINT (-65.411132 -23.565073)"
"Alojamiento El Cardon Tilcara","","POINT (-65.398113 -23.580588)"
"Mirador los Colorados","","POINT (-65.501635 -23.749738)"
"Vista panorámica","","POINT (-65.498299 -23.743409)"
"Terminal de Omnibus de Tilcara","","POINT (-65.398649 -23.576241)"
"Mercado Municipal de Tilcara","","POINT (-65.394122 -23.575956)"
"Cerro de la Cruz","","POINT (-65.396101 -23.585848)"
"La Caldera","","POINT (-65.383417 -24.603186)"
"Vaqueros","","POINT (-65.409636 -24.690753)"
"Cerro El Porito ($10)","","POINT (-65.501517 -23.745631)"
"Perico","","POINT (-65.118142 -24.376166)"
"Esperanto Hostel","","POINT (-65.406516 -24.782679)"
"Monumento a Güemes","","POINT (-65.399285 -24.786726)"
"Cerro San Bernardo","","POINT (-65.392585 -24.789359)"
"Parque Nacional Los Cardones","","POINT (-65.929693 -25.280441)"
"Alto Noa Shopping","","POINT (-65.402345 -24.781034)"
"Plaza Alvarado","","POINT (-65.428335 -24.789231)"
"Lugar desconocido","","POINT (-65.42472 -24.782627)"
"Dique Campo Alegre","","POINT (-65.372836 -24.569722)"
"Monumento",,"POINT (-65.397845 -24.762224)"
"Edificio","","POINT (-65.405136 -24.774816)"
"Chango Mas","","POINT (-65.419573 -24.805463)"
"Lo de Chichi","","POINT (-65.976389 -26.070041)"
"Vista panorámica","","POINT (-65.507351 -24.725741)"
"El anfiteatro","","POINT (-65.701213 -25.855363)"
"El Obelisco","","POINT (-65.783439 -26.005514)"
"Plaza 20 de Febrero","","POINT (-65.97601 -26.072949)"
"Aguilares","","POINT (-65.614672 -27.431493)"
"Tres cruces","","POINT (-65.7115 -25.890921)"
"Geoforma del Sapo","","POINT (-65.728167 -25.944437)"
"Las Ventanas","","POINT (-65.799149 -26.010523)"
"Terminal de bus","","POINT (-65.972374 -26.065398)"
"Posadas","","POINT (-55.894303 -27.366492)"
"Corrientes","","POINT (-58.831215 -27.4687)"
"Santiago del Estero","","POINT (-64.259491 -27.787704)"
"Presidencia Roque Sáenz Peña","","POINT (-60.441055 -26.790922)"
"Curitiba","","POINT (-49.271263 -25.429578)"
"Taboada","","POINT (-63.746449 -28.00761)"
"Quimilí","","POINT (-62.417436 -27.644689)"
"Corzuela","","POINT (-60.969614 -26.955772)"
"Ituzaingó","","POINT (-56.689342 -27.589618)"
"Jardín América","","POINT (-55.227355 -27.042828)"
"Eldorado","","POINT (-54.625854 -26.4045)"
"Estación Cataratas","","POINT (-54.449051 -25.683853)"
"Terminal de Ómnibus de Puerto Iguazú","","POINT (-54.571116 -25.598379)"
"El Guembe Hostel House","","POINT (-54.567841 -25.598084)"
"Hostel Park Iguazu","","POINT (-54.568064 -25.59896)"
"Tres Flags","","POINT (-54.591209 -25.595225)"
"Hito Tres Fronteras","","POINT (-54.590766 -25.594763)"
"Salto Dos Hermanas","","POINT (-54.445784 -25.683846)"
"Mirador Garganta Del Diablo","","POINT (-54.437356 -25.695516)"
"Salto San Martín","","POINT (-54.44425 -25.688746)"
"Shell","","POINT (-54.51858 -25.494654)"
"Posto Acaray","","POINT (-54.5092 -25.490829)"
"Cascavel","","POINT (-53.456067 -24.955502)"
"Registro","","POINT (-47.844885 -24.49795)"
"Lugar desconocido","","POINT (-68.047537 -21.685035)"
"Árbol de Piedra","","POINT (-67.882909 -22.051702)"
"Mirador Laguna Colorada",,"POINT (-67.804567 -22.170408)"
"Mirador Laguna Colorada",,"POINT (-67.804567 -22.170408)"
"Mirador Laguna Colorada",,"POINT (-67.804567 -22.170408)"
