name,description,WKT
"Chaullay",,"POINT (-72.665185 -13.325285)"
"soyroccocha",,"POINT (-72.560732 -13.354101)"
"Huairaspampa",,"POINT (-72.603892 -13.327496)"
"Calle","","POINT (-72.561962 -13.431839)"
"Lugar desconocido","","POINT (-72.559295 -13.432217)"
"Lugar desconocido",,"POINT (-72.573967 -13.395428)"
"Salkantay Trek 25km","","POINT (-72.563487 -13.348641)"
"Salkantay Trek","","POINT (-72.587421 -13.337866)"
"Tukarway",,"POINT (-72.594348 -13.360599)"
"Lugar desconocido","","POINT (-72.65065 -13.322776)"
"Lugar desconocido","","POINT (-72.66457 -13.324245)"
"Vista panorámica","","POINT (-72.650382 -13.299317)"
"Lugar desconocido",,"POINT (-72.635214 -13.252395)"
"Lugar desconocido",,"POINT (-72.641211 -13.271365)"
"Santa Teresa","","POINT (-72.594279 -13.130167)"
"Lugar desconocido","","POINT (-72.570116 -13.412873)"
"Lugar desconocido",,"POINT (-72.618954 -13.316092)"
"Arequipa","","POINT (-71.536948 -16.398853)"
"Piscina","","POINT (-72.600692 -13.109087)"
"Río","","POINT (-72.580326 -13.150404)"
"Restaurante",,"POINT (-72.581106 -13.170704)"
"Colectivo a Santa Teresa",,"POINT (-72.561 -13.174344)"
"Lugar desconocido",,"POINT (-72.55168 -13.171687)"
"Lugar desconocido",,"POINT (-72.556079 -13.156123)"
"Cataratas",,"POINT (-72.54279 -13.146872)"
"Lugar desconocido",,"POINT (-72.553098 -13.161795)"
"Lugar desconocido",,"POINT (-72.551289 -13.146972)"
"Lugar desconocido",,"POINT (-72.536175 -13.152645)"
"Lugar desconocido",,"POINT (-72.568726 -13.175081)"
"Santa María","","POINT (-72.634198 -13.006846)"
"Alfamayo",,"POINT (-72.405368 -13.064945)"
"Lower entrance to Machu Picchu","","POINT (-72.53611 -13.161419)"
"Machu Picchu - Entrance and Ticketing",,"POINT (-72.543062 -13.165655)"
"Guard's House","","POINT (-72.54455 -13.165352)"
"Puente Inca","","POINT (-72.543875 -13.170568)"
"Inti Punku - Sun Gate","","POINT (-72.533929 -13.169638)"
"Pachar","","POINT (-72.217986 -13.278314)"
"Tastallo",,"POINT (-72.274012 -13.143878)"
"Moray","","POINT (-72.196799 -13.330088)"
"Mercado de San Pedro",,"POINT (-71.9825 -13.521149)"
"Santa Lucia","","POINT (-70.606818 -15.697798)"
"Puticaico",,"POINT (-71.023244 -15.774582)"
"Tacune",,"POINT (-71.400956 -16.059407)"
"Edificio",,"POINT (-71.978152 -13.512984)"
"Terminal Terrestre de Arequipa","","POINT (-71.544454 -16.423282)"
"Mercado San Camilo",,"POINT (-71.535015 -16.402908)"
"Chivay","","POINT (-71.602231 -15.636679)"
"Oasis de Sangalle",,"POINT (-71.975718 -15.596728)"
"San Juan de Chuccho",,"POINT (-71.947802 -15.592615)"
"Cruz del Condor",,"POINT (-71.906442 -15.611148)"
"Cabanaconde",,"POINT (-71.980855 -15.622111)"
"Mirador San Miguel",,"POINT (-71.971692 -15.610786)"
"Lugar desconocido","","POINT (-71.976389 -15.596454)"
"Edificio",,"POINT (-71.535103 -16.398992)"
"Avenida Pachacutec",,"POINT (-72.525262 -13.154372)"
"Mirador de San Juan","","POINT (-71.95046 -15.602561)"
"Fundo el Fierro","","POINT (-71.535391 -16.394517)"
"Monumento",,"POINT (-71.533701 -16.393202)"
"Mundo Alpaca",,"POINT (-71.535506 -16.392787)"
"Vista panorámica",,"POINT (-71.97795 -15.612618)"
"Mirador Cosñirhua",,"POINT (-71.956463 -15.603235)"
"Vista panorámica",,"POINT (-71.968313 -15.593617)"
"Vista panorámica",,"POINT (-71.977843 -15.607206)"
"Mirador Los Andes",,"POINT (-71.581884 -15.752688)"
"Lugar desconocido",,"POINT (-71.448254 -15.849045)"
"Mirador de Yanahuara",,"POINT (-71.54175 -16.387474)"
"Plaza de Yanahuara",,"POINT (-71.54215 -16.387364)"
"Basílica Catedral de Arequipa",,"POINT (-71.536633 -16.398095)"
"San Francisco",,"POINT (-71.535258 -16.394995)"
"Desaguadero","","POINT (-69.034132 -16.568363)"
"Pucara",,"POINT (-68.570646 -16.596222)"
"Complejo deportivo","","POINT (-68.160073 -16.498166)"
"El turista","","POINT (-66.158366 -17.394493)"
"Iglesia Santa Teresa","","POINT (-66.157977 -17.39017)"
"Palacio Portales","","POINT (-66.152777 -17.374852)"
"Wist'upiku","","POINT (-66.153214 -17.378239)"
